epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,313.227,0.97275,2.8719,0.00145,0.80483,0.87369,0.93681,0.76817,0.91068,0.9685,0.00171,0.00044065,0.00044065,0.00044065
115,316.17,0.85072,3.41498,0.00112,0.80483,0.87369,0.93681,0.76817,0.91068,0.9685,0.00171,0.0004357,0.0004357,0.0004357
116,318.894,1.06564,1.69198,0.00134,0.92649,0.77342,0.92924,0.75529,0.95702,0.96583,0.00176,0.00043075,0.00043075,0.00043075
117,321.49,0.97622,1.93779,0.00138,0.92649,0.77342,0.92924,0.75529,0.95702,0.96583,0.00176,0.0004258,0.0004258,0.0004258
118,324.17,0.98338,1.42553,0.00121,0.95778,0.75596,0.93383,0.75327,0.97408,1.00398,0.00177,0.00042085,0.00042085,0.00042085
119,327.082,1.08154,1.39528,0.00113,0.95778,0.75596,0.93383,0.75327,0.97408,1.00398,0.00177,0.0004159,0.0004159,0.0004159
120,329.742,1.05044,1.24527,0.00115,0.95261,0.75365,0.93895,0.75611,0.99164,1.01229,0.00183,0.00041095,0.00041095,0.00041095
121,332.254,1.04158,1.57831,0.00138,0.95261,0.75365,0.93895,0.75611,0.99164,1.01229,0.00183,0.000406,0.000406,0.000406
122,334.957,1.14754,1.24037,0.00109,0.93966,0.75562,0.93514,0.71963,1.01967,1.02138,0.00189,0.00040105,0.00040105,0.00040105
123,337.473,1.13717,1.40815,0.00122,0.93966,0.75562,0.93514,0.71963,1.01967,1.02138,0.00189,0.0003961,0.0003961,0.0003961
124,340.545,1.01302,2.00329,0.00134,0.93544,0.75462,0.93514,0.73883,1.02537,1.01984,0.00191,0.00039115,0.00039115,0.00039115
125,343.118,0.93564,1.19156,0.00104,0.93544,0.75462,0.93514,0.73883,1.02537,1.01984,0.00191,0.0003862,0.0003862,0.0003862
126,345.844,1.10177,1.47293,0.00133,0.94482,0.74778,0.94176,0.75373,0.98839,1.00401,0.00186,0.00038125,0.00038125,0.00038125
127,348.392,0.98462,1.36818,0.00113,0.94482,0.74778,0.94176,0.75373,0.98839,1.00401,0.00186,0.0003763,0.0003763,0.0003763
128,351.464,1.00147,1.27876,0.00117,0.92796,0.75188,0.94107,0.76524,0.94255,0.97132,0.0018,0.00037135,0.00037135,0.00037135
129,353.998,0.8935,1.32215,0.00112,0.92796,0.75188,0.94107,0.76524,0.94255,0.97132,0.0018,0.0003664,0.0003664,0.0003664
130,356.655,1.02722,1.73463,0.00181,0.82985,0.82562,0.94107,0.76906,0.95575,0.9663,0.00182,0.00036145,0.00036145,0.00036145
131,359.207,0.92373,1.4821,0.00105,0.82985,0.82562,0.94107,0.76906,0.95575,0.9663,0.00182,0.0003565,0.0003565,0.0003565
132,361.923,0.90653,1.2392,0.00112,0.79949,0.91784,0.93726,0.76819,0.96363,0.96678,0.00185,0.00035155,0.00035155,0.00035155
133,364.434,0.89494,1.32661,0.00115,0.79949,0.91784,0.93726,0.76819,0.96363,0.96678,0.00185,0.0003466,0.0003466,0.0003466
134,367.508,1.1814,1.58082,0.00116,0.83947,0.93702,0.94107,0.7595,0.97092,0.96532,0.00188,0.00034165,0.00034165,0.00034165
135,370.045,1.12685,1.9674,0.00169,0.83947,0.93702,0.94107,0.7595,0.97092,0.96532,0.00188,0.0003367,0.0003367,0.0003367
136,372.755,0.94882,1.24231,0.0011,0.87524,0.91695,0.9562,0.76872,1.00707,0.98469,0.00194,0.00033175,0.00033175,0.00033175
137,375.27,1.11173,2.06083,0.00127,0.87524,0.91695,0.9562,0.76872,1.00707,0.98469,0.00194,0.0003268,0.0003268,0.0003268
138,378.361,0.9387,1.87266,0.00146,0.88494,0.90254,0.95411,0.76749,1.01084,0.97655,0.00198,0.00032185,0.00032185,0.00032185
139,380.924,0.85805,1.32617,0.00123,0.88494,0.90254,0.95411,0.76749,1.01084,0.97655,0.00198,0.0003169,0.0003169,0.0003169
140,383.65,1.04813,1.19678,0.00123,0.87398,0.91498,0.95411,0.76687,0.98981,0.96376,0.00196,0.00031195,0.00031195,0.00031195
141,386.189,1.21055,1.39365,0.00119,0.87398,0.91498,0.95411,0.76687,0.98981,0.96376,0.00196,0.000307,0.000307,0.000307
142,388.876,0.77067,2.1237,0.00096,0.88722,0.90863,0.95432,0.77042,0.97762,0.94513,0.0019,0.00030205,0.00030205,0.00030205
143,391.824,0.88016,1.20718,0.00108,0.88722,0.90863,0.95432,0.77042,0.97762,0.94513,0.0019,0.0002971,0.0002971,0.0002971
144,394.52,1.06117,1.19405,0.00102,0.89633,0.91089,0.95352,0.77465,0.96119,0.91949,0.00183,0.00029215,0.00029215,0.00029215
145,397.087,0.89742,1.18388,0.00107,0.89633,0.91089,0.95352,0.77465,0.96119,0.91949,0.00183,0.0002872,0.0002872,0.0002872
146,399.773,0.93502,1.25843,0.00116,0.88456,0.91608,0.95597,0.76392,0.94875,0.92133,0.00177,0.00028225,0.00028225,0.00028225
